"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"McKenna, Ryan","663630","2024",,,,,,,,,38,,,,,,,73,,,,
"Mayo, Coby","691723","2024",,,,,,,,,14,,,,,,,65,,,,
"Kessinger, Grae","666197","2024",,,,,,,,,5,,,,,,,49,,,,
"Waters, Drew","671221","2024",,,,,,,,,3,,,,,,,70,,,,
"Outman, James","681546","2024",,,,,,,,,67,,,,,,82,88,,,,
"Herrera, Iván","671056","2024",,,,,,,,,84,,,,,,,50,,,,
"Trevino, Jose","624431","2024",,,,,,,,,34,,,,,,,3,,,,
"Caratini, Victor","605170","2024",,,,,,,,,74,,,,,,,3,,,,
"Tatis Jr., Fernando","665487","2024",96,97,95,88,93,72,88,96,98,98,51,51,33,57,99,82,27,,,
"Moniak, Mickey","666160","2024",21,21,49,60,5,52,67,35,86,27,22,9,23,3,41,86,71,71,13,13
"Sanoja, Javier","691594","2024",,,,,,,,,18,,,,,,,78,,,,
"Andujar, Miguel","609280","2024",15,76,14,3,25,3,5,7,69,18,95,6,92,10,96,31,6,,,
"Martínez, J.P.","679881","2024",,,,,,,,,3,,,,,,,20,,,,
"Marlowe, Cade","687799","2024",,,,,,,,,3,,,,,,,57,,,,
"Fletcher, David","664058","2024",,,,,,,,,2,,,,,,,38,,,,
"Espinal, Santiago","669289","2024",23,74,21,7,42,2,2,10,21,5,96,22,96,56,19,48,13,,,
"McKinney, Billy","641856","2024",,,,,,,,,10,,,,,,,43,,,,
"Baker, Luken","663609","2024",,,,,,,,,53,,,,,,,4,,,,
"Pereda, Jhonny","640902","2024",,,,,,,,,20,,,,,,,1,,,,
"Ornelas, Jonathan","680716","2024",,,,,,,,,47,,,,,,,29,,,,
"Rocchio, Brayan","677587","2024",12,11,4,12,33,13,16,3,26,2,65,67,59,37,41,38,93,17,51,52
"Delay, Jason","641511","2024",,,,,,,,,14,,,,,,,14,,,,
"Pages, Andy","681624","2024",44,41,52,54,30,61,73,35,81,48,29,25,35,32,95,77,68,67,11,13
"Amaya, Jacob","676070","2024",,,,,,,,,6,,,,,,,72,,,,
"Wiemer, Joey","686894","2024",,,,,,,,,13,,,,,,,84,,,,
"Hiura, Keston","669374","2024",,,,,,,,,30,,,,,,,34,,,,
